phuong_phap,nhom,symbol,khung,doan,nguong,n_lenh,ev_r,win_pct,pf,sharpe,maxdd_r,ci_lo,ci_hi,song_sot,ghi_chu
smc_liq_sweep,SMC/ICT,audjpy,M15,IS,0.1,18624,-0.11961,42.12,0.809,-0.1026,2242.26,-0.13625,-0.10374,False,nan
smc_liq_sweep,SMC/ICT,audjpy,M15,OOS,0.1,6960,-0.18512,41.59,0.724,-0.1577,1294.64,-0.21377,-0.15703,False,nan
smc_liq_sweep,SMC/ICT,audjpy,M15,VALID,0.1,5434,-0.15869,40.63,0.755,-0.1367,878.36,-0.18917,-0.13013,False,nan
smc_premium_disc,SMC/ICT,audjpy,M15,IS,0.7,24004,-0.09803,42.88,0.842,-0.0836,2367.29,-0.11258,-0.08306,False,nan
smc_premium_disc,SMC/ICT,audjpy,M15,OOS,0.7,10670,-0.20647,40.6,0.698,-0.176,2216.0,-0.22948,-0.18498,False,nan
smc_premium_disc,SMC/ICT,audjpy,M15,VALID,0.7,6202,-0.15211,41.1,0.764,-0.1309,955.11,-0.18092,-0.12446,False,nan
elliott_zigzag,Elliott,audjpy,M15,IS,0.1,21538,-0.19242,38.92,0.71,-0.1667,4146.71,-0.20725,-0.17668,False,nan
elliott_zigzag,Elliott,audjpy,M15,OOS,0.1,9114,-0.21799,40.05,0.682,-0.1867,1985.64,-0.24114,-0.19446,False,nan
elliott_zigzag,Elliott,audjpy,M15,VALID,0.1,5377,-0.19105,39.46,0.71,-0.1658,1037.71,-0.22019,-0.15984,False,nan
wyckoff_spring,Wyckoff,audjpy,M15,IS,0.1,5532,-0.14074,41.4,0.781,-0.12,792.83,-0.1721,-0.11067,False,nan
wyckoff_spring,Wyckoff,audjpy,M15,OOS,0.1,1930,-0.17183,42.28,0.743,-0.1451,340.53,-0.22341,-0.12007,False,nan
wyckoff_spring,Wyckoff,audjpy,M15,VALID,0.1,1547,-0.13011,42.02,0.797,-0.1105,215.96,-0.19242,-0.06875,False,nan
