time,open,high,low,close,tickvol
2023-12-25 20:00,2057.79,2057.873,2053.505,2054.68,1447
2023-12-26 00:00,2054.672,2065.125,2053.388,2063.939,9489
2023-12-26 04:00,2063.907,2065.022,2061.348,2064.201,8405
2023-12-26 08:00,2064.222,2064.617,2060.503,2063.485,9046
2023-12-26 12:00,2063.532,2063.948,2054.49,2056.808,13644
2023-12-26 16:00,2056.822,2062.122,2056.523,2061.682,11302
2023-12-26 20:00,2061.709,2069.097,2061.542,2065.738,6460
2023-12-27 00:00,2065.973,2067.854,2063.923,2064.566,13754
2023-12-27 04:00,2064.572,2067.443,2064.093,2065.985,11868
2023-12-27 08:00,2065.983,2069.332,2061.501,2068.106,14327
2023-12-27 12:00,2068.154,2081.915,2064.402,2078.853,22922
2023-12-27 16:00,2078.824,2084.46,2075.897,2077.487,18601
2023-12-27 20:00,2077.534,2079.701,2076.343,2079.281,7492
2023-12-28 00:00,2079.38,2088.523,2079.21,2087.236,15945
2023-12-28 04:00,2087.238,2087.644,2084.013,2086.11,14656
2023-12-28 08:00,2086.18,2086.445,2072.702,2075.524,18701
2023-12-28 12:00,2075.548,2081.169,2071.298,2077.272,23051
2023-12-28 16:00,2077.223,2077.362,2065.929,2068.092,19638
2023-12-28 20:00,2068.044,2068.93,2064.494,2066.676,8027
2023-12-29 00:00,2066.715,2071.426,2066.048,2069.531,15108
2023-12-29 04:00,2069.532,2074.777,2068.887,2071.963,12298
2023-12-29 08:00,2072.012,2073.473,2061.823,2067.727,16359
2023-12-29 12:00,2067.758,2068.905,2058.133,2064.874,23663
2023-12-29 16:00,2064.828,2068.186,2061.115,2067.288,20614
2023-12-29 20:00,2067.266,2067.401,2062.461,2062.875,5900
2024-01-01 20:00,2064.889,2066.307,2062.853,2063.752,1983
2024-01-02 00:00,2063.557,2070.407,2062.244,2069.556,13271
2024-01-02 04:00,2069.562,2076.709,2068.893,2073.134,12456
2024-01-02 08:00,2073.2,2078.919,2068.285,2069.259,16608
2024-01-02 12:00,2069.216,2071.055,2056.134,2059.343,32910
2024-01-02 16:00,2059.374,2067.632,2059.129,2060.984,18590
2024-01-02 20:00,2061.027,2061.615,2057.875,2059.589,7473
2024-01-03 00:00,2059.56,2065.579,2059.265,2065.109,14555
2024-01-03 04:00,2065.061,2066.019,2060.864,2062.952,13470
2024-01-03 08:00,2062.947,2064.414,2046.651,2047.654,19418
2024-01-03 12:00,2047.685,2048.804,2031.789,2032.59,37259
2024-01-03 16:00,2032.639,2042.315,2030.56,2036.658,25823
2024-01-03 20:00,2036.621,2043.777,2036.443,2042.779,10386
2024-01-04 00:00,2042.77,2046.998,2040.082,2044.721,14908
2024-01-04 04:00,2044.719,2049.587,2042.349,2047.636,15613
