time,open,high,low,close,tickvol
2024-11-20 20:00,94069.39,94684.53,93817.09,94345.43,52226
2024-11-21 00:00,94345.1,95993.91,94055.77,95820.57,54388
2024-11-21 04:00,95819.63,97883.89,95818.16,96926.2,66263
2024-11-21 08:00,96926.2,98354.86,96719.19,97946.41,55985
2024-11-21 12:00,97947.05,98227.29,95590.17,96666.53,78982
2024-11-21 16:00,96658.21,99096.49,96303.19,97837.17,76044
2024-11-21 20:00,97837.17,98805.67,97558.41,98406.6,55599
2024-11-22 00:00,98406.58,99404.19,97864.5,98864.35,54288
2024-11-22 04:00,98864.35,99535.79,98536.77,99254.77,47272
2024-11-22 08:00,99254.77,99341.39,98226.76,98881.07,47073
2024-11-22 12:00,98881.07,98970.21,97126.03,98758.72,72247
2024-11-22 16:00,98758.72,99733.12,98315.05,99144.88,65286
2024-11-22 20:00,99144.87,99525.89,98534.96,98929.74,52336
2024-11-23 00:00,98929.73,98953.25,98223.08,98641.37,48906
2024-11-23 04:00,98641.37,98747.0,98214.53,98497.96,39638
2024-11-23 08:00,98497.95,98568.26,98239.75,98394.1,33826
2024-11-23 12:00,98393.88,98915.93,98379.62,98478.12,40994
2024-11-23 16:00,98478.13,98557.28,97432.72,97587.53,48937
2024-11-23 20:00,97587.52,98125.4,97174.92,97718.95,42006
2024-11-24 00:00,97718.98,98611.77,97664.66,98227.92,36765
2024-11-24 04:00,98227.91,98450.47,97901.07,98443.06,34498
2024-11-24 08:00,98443.06,98510.06,97286.26,97337.45,38425
2024-11-24 12:00,97337.45,97732.45,95943.55,95961.87,62060
2024-11-24 16:00,95957.62,96819.49,95756.3,96376.52,52981
2024-11-24 20:00,96376.52,98453.32,96244.35,97983.9,46677
2024-11-25 00:00,97983.9,98153.18,96959.16,97990.67,52812
2024-11-25 04:00,97989.43,98436.6,97641.33,98118.62,48216
2024-11-25 08:00,98119.01,98964.04,97914.45,98204.47,49095
2024-11-25 12:00,98203.31,98331.43,94579.16,96046.49,77256
2024-11-25 16:00,96047.14,96559.67,94421.55,94671.76,69154
2024-11-25 20:00,94671.76,95333.02,92591.64,93014.44,67386
2024-11-26 00:00,93014.74,95041.06,92766.04,94590.64,60239
2024-11-26 04:00,94590.64,95091.69,93583.9,93847.78,52800
2024-11-26 08:00,93847.78,93847.78,91388.68,92280.51,81860
